contextRef,entity_identifier,period_start,period_end,instant
ib9eb531dae4f43d299b370fc37504b99_I20200926,0000320193,,,2020-09-26
i3c1ee435be564642be39ae1f433154cc_I20190928,0000320193,,,2019-09-28
ib1661b85b7db46a48e9395c2f6ccb11a_D20171231-20171231,0000320193,2017-12-31,2017-12-31,
i6bcd0bcef7d7483c953e373f8a349053_D20180101-20180101,0000320193,2018-01-01,2018-01-01,
i7aea13b2989841eab42f81932128959e_D20160830-20160830,0000320193,2016-08-30,2016-08-30,
i616caf700e054c4a9e721b3e2db10026_I20160830,0000320193,,,2016-08-30
i9f07de82b32342028ab4b3f7d4c04d79_I20160830,0000320193,,,2016-08-30
iabdf08966a834496ae4734b952896e02_I20200926,0000320193,,,2020-09-26
ieb60668816b54802b809307fabbcd648_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i2f7106ab3313492d82e18c4c8b9097de_I20200926,0000320193,,,2020-09-26
i0fa74423f1e5434bb42711dc304f3a46_I20200926,0000320193,,,2020-09-26
ibfd5a819cdb947f8aaf14c08a2be6987_I20200926,0000320193,,,2020-09-26
i628d7c2015ed455982ee276b82886954_I20190928,0000320193,,,2019-09-28
i5e090c5439a341ab8b635c44dddea89e_I20190928,0000320193,,,2019-09-28
i558577704f56408aa9fa0035e64c3e07_I20190928,0000320193,,,2019-09-28
if614b6a7d2a84983a9e855c48506b465_I20200926,0000320193,,,2020-09-26
i38ecfee2cf6e4b0492609bda3fa2dfdc_I20200926,0000320193,,,2020-09-26
i103c884a67b5403b8ff0b2d0a6ac08a1_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ia87ad1ae658441dfbd80c6eb496f7421_I20200926,0000320193,,,2020-09-26
i349872aa1231490592b02df0a5bbfb53_I20190928,0000320193,,,2019-09-28
i34a8ebe1db514885a98a2d279704d09c_I20190928,0000320193,,,2019-09-28
ia6c03416f78748349a2134c6b99a9529_I20190928,0000320193,,,2019-09-28
if9c120b8828044729f0ef15d01dfe651_I20200926,0000320193,,,2020-09-26
i0083dddb12c34a8a948d75e7043b8f79_I20200926,0000320193,,,2020-09-26
i693123d69bfd480b95ea133a5a44280f_I20200926,0000320193,,,2020-09-26
ie9d0e61687924aa284b9b28dae891f28_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i6a293dc796be45c4af9a2cc4d2d6d01f_I20200926,0000320193,,,2020-09-26
i81086929f3f942cd8907086cd18e4853_I20190928,0000320193,,,2019-09-28
id0420d48d2404312848a1ed521bfaf6a_I20200926,0000320193,,,2020-09-26
i58084ed8cbc045a19864038f7b6b03d1_I20200926,0000320193,,,2020-09-26
i59878c343b95416a811d40dc3c15e09c_I20200926,0000320193,,,2020-09-26
id61c4d4ccd5e43279c77aacf004cbd46_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i3ffb944a9c0246d2a494ebf78494749b_I20200926,0000320193,,,2020-09-26
i1504f995ccd94be5b1694e2f0f3078b2_I20190928,0000320193,,,2019-09-28
iaa639963c5a54b6e97b53a7bebba233d_I20200926,0000320193,,,2020-09-26
i91a773a3a5f24026b7df0a7ddcf5f4b7_I20200926,0000320193,,,2020-09-26
i195c3be8ef05441a81762f744ceaadc0_I20200926,0000320193,,,2020-09-26
i0b937c0bff3c43ecac8e2b9d11dd5b4a_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i7150037a4d444791ae7f8de24bd290ea_I20200926,0000320193,,,2020-09-26
id9d91edd606f4073a7d8cf5be1a3229d_I20190928,0000320193,,,2019-09-28
ie650ecb981d04d7fa2ac9d41315142fd_I20190928,0000320193,,,2019-09-28
ifc5ad9bf07f7450dbf4ac30cc6a92039_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
ie0445a1124c74ba0abd5af33e8f7b3b4_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i74ce8aa519a1482aaf1cc6534b32d66b_I20190928,0000320193,,,2019-09-28
i2fb136c89a0b45078f466ec0ff5bbe8b_I20180929,0000320193,,,2018-09-29
i581630529fa340e4b590d3fdb01beb46_I20170930,0000320193,,,2017-09-30
