label,value,category,prediction_confidence
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"1,332,000,000",noncurrent assets,0.3639531422604747
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"15,320,000,000",noncurrent assets,0.3639531422604747
OtherAssetsNoncurrent,"158,561,000,000",noncurrent assets,0.3645166375256924
OtherAssetsNoncurrent,"75,500,000,000",noncurrent assets,0.3645166375256924
AccountsPayableCurrent,"138,820,000,000",current liabilities,0.3670953295654336
AccountsPayableCurrent,"88,532,000,000",current liabilities,0.3670953295654336
NoncurrentAssets,"191,028,000,000",noncurrent assets,0.37212575275641796
NoncurrentAssets,"148,288,000,000",noncurrent assets,0.37212575275641796
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"1,967,000,000",current liabilities,0.3836703528541418
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,"1,493,000,000",current liabilities,0.3836703528541418
FinanceLeaseLiabilityNoncurrent,"1,444,000,000",noncurrent liabilities,0.39799073670165197
FinanceLeaseLiabilityNoncurrent,"637,000,000",noncurrent liabilities,0.39799073670165197
